app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(101,10): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(104,17): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(107,10): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(110,17): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(113,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(116,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(119,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(120,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(123,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(126,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(129,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(132,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(133,28): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(134,26): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(143,1): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(144,3): error TS2304: Cannot find name 'afterEach'.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(149,3): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(160,5): error TS2304: Cannot find name 'expect'.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(163,3): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
app/(app)/(tabs)/__tests__/saved-routes.keyboard.test.ts(174,5): error TS2304: Cannot find name 'expect'.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(14,18): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(15,18): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(18,28): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(20,15): error TS2694: Namespace 'global.jest' has no exported member 'Mock'.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(25,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(34,12): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(36,11): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(37,15): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(38,13): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(42,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(54,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(58,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(62,1): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.swipe.test.ts(66,1): error TS2708: Cannot use namespace 'jest' as a value.
