RouteName,State,CentroidLat,CentroidLng,LengthMiles,AgencyTags
Kayenta-Monument Valley Scenic Road,Arizona / Utah,36.859540,-110.231299,21.9,STATE
Killdeer Four Bears Scenic Byway,North Dakota,47.517269,-102.788991,28.5,STATE
Kings Canyon Scenic Byway,California,36.781834,-118.881498,49.2,USFS
Kings Hill Scenic Byway,Montana,46.940371,-110.811501,71.4,USFS
Kinzua Bridge Byway,Pennsylvania,41.760510,-78.572969,9.4,STATE
Kolob Fingers Road Scenic Byway,Utah,37.454205,-113.201803,5.2,STATE
Kolob Reservoir Road,Utah,37.465166,-113.071218,59.5,STATE
La Frontera del Llano Byway,New Mexico,35.800555,-103.904988,93.5,STATE
Ladyslipper Scenic Byway,Minnesota,47.549946,-94.510389,26.3,"USFS, STATE"
Lafayette's Tour,North Carolina,36.353616,-77.325331,162.8,STATE
Lake Champlain Byway - Vermont,Vermont,44.507257,-73.196468,39.8,STATE
Lake Coeur d'Alene Scenic Byway,Idaho,47.529795,-116.753286,35.0,STATE
Lake Country Scenic Byway,Minnesota,46.945774,-95.182324,88.5,STATE
Lake Erie Coastal Ohio Trail,Michigan / Ohio / Pennsylvania,41.619058,-82.308164,273.8,"NSB, STATE"
Lake Koocanusa Scenic Byway,Montana,48.613031,-115.282787,68.9,USFS
Lake Sunapee Scenic Byway,New Hampshire,43.363758,-72.031013,22.0,STATE
Lake Tahoe - Eastshore Drive,California / Nevada,39.117327,-119.937187,26.4,"NSB, STATE"
Lake Valley Back Country Byway,New Mexico,32.822021,-107.500291,46.5,"BLM, BLM"
Lake Wilhelm Scenic Byway,Pennsylvania,41.397672,-80.119647,7.3,STATE
Lakes to Locks Passage,New York,43.917916,-73.474591,180.9,NSB
Lakeview to Steens Mountains Back Country Byway,Oregon,42.681165,-119.390836,154.6,BLM
Lamoille Canyon Road,Nevada,40.661253,-115.426399,12.1,"USFS, STATE"
Land of the Cross-Tipped Churches Scenic Byway,Ohio,40.421979,-84.570171,38.5,STATE
Lariat Loop Scenic and Historic Byway,Colorado,39.685475,-105.273016,42.2,STATE
Las Vegas Strip,Nevada,36.117029,-115.169242,4.1,"NSB, STATE"
Lassen Scenic Byway,California,40.429242,-121.233732,171.4,USFS
Laurel Highlands Scenic Byway,Pennsylvania,40.076788,-79.351571,69.0,STATE
Lee Vining Canyon Scenic Byway,California,37.938550,-119.196121,12.0,USFS
Lee's Retreat,Virginia,37.218286,-78.128401,93.1,STATE
Lewis & Clark Scenic Byway,Nebraska,41.986628,-96.302256,77.8,STATE
Lewis and Clark Back Country Byway,Idaho,45.003934,-113.531773,37.2,"BLM, STATE"
Lewis and Clark Trail Highway,Washington,46.053841,-120.519229,538.9,STATE
Lincoln Highway,Illinois / Indiana,41.768502,-88.801262,175.5,"NSB, STATE"
Little Cottonwood Canyon Scenic Byway,Utah,40.578821,-111.684301,10.7,"USFS, STATE"
Little Dixie Highway of the Great River Road,Missouri,39.491348,-91.116603,34.4,"NSB, STATE"
Little Kanawha Parkway,West Virginia,38.974919,-81.105265,77.1,STATE
Little Parkway,North Carolina,36.108653,-81.772545,17.9,STATE
Loess Hills Scenic Byway,Iowa,41.746723,-95.967450,223.0,"NSB, NPS, STATE"
Logan Canyon Scenic Byway,Utah,41.861590,-111.577933,36.8,"USFS, NSB, STATE"
Longhouse Scenic Byway,Pennsylvania,41.825588,-78.900073,29.4,USFS
Longleaf Trail Scenic Byway,Louisiana,31.486247,-93.071337,17.3,"USFS, STATE"
Los Caminos Antiguos,Colorado,37.301939,-105.835615,148.6,"BLM, STATE"
Lost Gold Trails Loop,Idaho,44.281174,-112.096014,52.7,STATE
Loup Rivers Scenic Byway,Nebraska,41.572723,-99.137284,141.2,STATE
Lovelock Cave Back Country Byway,Nevada,40.075015,-118.452777,20.4,BLM
Lower Crooked River Back Country Byway,Oregon,44.082487,-120.785664,44.9,BLM
Lower Deschutes River Back Country Byway,Oregon,45.202448,-121.063532,21.0,BLM
Lower Mississippi Great River Road,Louisiana / Mississippi,31.778829,-91.116192,143.0,NSB
